season,name,height,weight,game,game_date,age,min,fgm,fga,fg_percent,three_pm,three_pa,three_percent,ftm,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus
2022,Luka Dončić,6-7,230,10,2021-11-08,22,33:16,10,21,.476,2,5,.400,3,5,.600,2,3,5,5,1,1,5,3,25,-2
2022,Luka Dončić,6-7,230,11,2021-11-10,22,33:25,6,18,.333,1,6,.167,7,10,.700,1,7,8,10,4,1,4,0,20,-20
2022,Luka Dončić,6-7,230,12,2021-11-12,22,36:26,11,23,.478,6,13,.462,4,8,.500,0,12,12,15,2,0,2,2,32,+6
2022,Luka Dončić,6-7,230,13,2021-11-15,22,37:33,9,23,.391,2,7,.286,3,5,.600,1,7,8,11,2,1,4,3,23,+4
2022,Luka Dončić,6-7,230,,2021-11-17,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Luka Dončić,6-7,230,,2021-11-19,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Luka Dončić,6-7,230,,2021-11-21,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Luka Dončić,6-7,230,14,2021-11-23,22,41:09,9,21,.429,4,11,.364,4,4,1.000,1,8,9,9,1,2,6,4,26,+7
2022,Luka Dončić,6-7,230,15,2021-11-27,22,36:47,13,25,.520,3,9,.333,4,7,.571,0,4,4,10,0,0,4,3,33,-11
2022,Luka Dončić,6-7,230,16,2021-11-29,22,33:10,9,21,.429,7,11,.636,0,4,.000,2,8,10,10,1,0,4,2,25,-20
